iter	Passed	Remaining
642	16708	9276
643	16732	9249
644	16756	9222
645	16780	9195
646	16803	9167
647	16827	9140
648	16850	9113
649	16875	9086
650	16900	9060
651	16925	9033
652	16949	9006
653	16989	8988
654	17015	8962
655	17041	8936
656	17064	8908
657	17088	8881
658	17111	8854
659	17134	8826
660	17158	8799
661	17183	8773
662	17207	8746
663	17230	8719
664	17254	8691
665	17279	8665
666	17303	8638
667	17327	8611
668	17350	8584
669	17375	8558
670	17400	8531
671	17426	8505
672	17451	8479
673	17477	8453
674	17502	8426
675	17527	8400
676	17551	8374
677	17576	8347
678	17601	8321
679	17625	8294
680	17649	8267
681	17674	8241
682	17699	8214
683	17723	8188
684	17748	8161
685	17773	8135
686	17798	8109
687	17824	8083
688	17850	8057
689	17876	8031
690	17901	8004
691	17927	7979
692	17952	7953
693	17977	7926
694	18002	7900
695	18027	7874
696	18053	7848
697	18079	7822
698	18107	7797
699	18132	7771
700	18156	7744
701	18181	7717
702	18206	7691
703	18230	7665
704	18256	7639
705	18283	7613
706	18308	7587
707	18334	7561
708	18359	7535
709	18385	7509
710	18411	7483
711	18436	7457
712	18461	7431
713	18486	7404
714	18511	7378
715	18535	7352
716	18559	7325
717	18584	7299
718	18608	7272
719	18632	7246
720	18657	7219
721	18682	7193
722	18706	7166
723	18731	7140
724	18754	7113
725	18778	7087
726	18802	7060
727	18826	7034
728	18852	7008
729	18876	6981
730	18902	6955
731	18926	6929
732	18952	6903
733	18978	6877
734	19001	6851
735	19027	6825
736	19051	6798
737	19076	6772
738	19101	6746
739	19127	6720
740	19154	6695
741	19180	6669
742	19207	6643
743	19233	6617
744	19259	6592
745	19284	6566
746	19309	6540
747	19335	6514
748	19360	6487
749	19385	6461
750	19410	6435
751	19436	6409
752	19461	6383
753	19486	6357
754	19512	6331
755	19537	6305
756	19562	6279
757	19587	6253
758	19610	6226
759	19634	6200
760	19657	6173
761	19681	6147
762	19705	6120
763	19730	6094
764	19753	6068
765	19777	6041
766	19801	6015
767	19824	5988
768	19849	5962
769	19873	5936
770	19898	5910
771	19922	5883
772	19945	5857
773	19969	5831
774	19994	5804
775	20019	5778
776	20043	5752
777	20068	5726
778	20093	5700
779	20118	5674
780	20142	5648
781	20168	5622
782	20193	5596
783	20219	5570
784	20245	5544
785	20272	5519
786	20299	5493
787	20322	5467
788	20347	5441
789	20371	5415
790	20396	5389
791	20422	5363
792	20447	5337
793	20471	5311
794	20495	5285
795	20520	5258
796	20543	5232
797	20568	5206
798	20592	5180
799	20616	5154
800	20640	5127
801	20664	5101
802	20686	5075
803	20711	5048
804	20734	5022
805	20759	4996
806	20783	4970
807	20807	4944
808	20831	4918
809	20855	4891
810	20878	4865
811	20915	4842
812	20939	4816
813	20963	4790
814	21000	4767
815	21025	4741
816	21048	4714
817	21073	4688
818	21097	4662
819	21121	4636
820	21145	4610
821	21170	4584
822	21197	4558
823	21223	4533
824	21251	4507
825	21278	4482
826	21306	4457
827	21334	4431
828	21360	4406
829	21388	4380
830	21414	4355
831	21441	4329
832	21467	4303
833	21493	4278
